Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,671.0999755859375,674.0,651.1500244140625,660.75,624.75244140625,532339.0
2019-01-07,666.9500122070312,682.7999877929688,662.3499755859375,671.1500244140625,634.5859375,675873.0
2019-01-08,673.0499877929688,677.4500122070312,668.2000122070312,669.8499755859375,633.3567504882812,528366.0
2019-01-09,684.9000244140625,689.7999877929688,664.5499877929688,675.8499755859375,639.0298461914062,1401279.0
2019-01-10,681.1500244140625,682.0,672.6500244140625,679.75,642.7173461914062,591859.0
2019-01-11,683.9000244140625,686.0,672.7999877929688,683.7000122070312,646.4522094726562,965600.0
2019-01-14,706.0,709.0,695.7000122070312,700.9000244140625,662.7151489257812,1900868.0
2019-01-15,705.0999755859375,729.7999877929688,705.0999755859375,726.5499877929688,686.9676513671875,907834.0
2019-01-16,729.0,737.6500244140625,729.0,736.5499877929688,696.4228515625,570874.0
2019-01-17,736.4500122070312,738.6500244140625,728.75,733.4000244140625,693.4445190429688,284316.0
2019-01-18,731.9500122070312,736.0,726.5,731.0,691.1752319335938,203144.0
2019-01-21,733.0,750.7000122070312,733.0,742.75,702.2850952148438,439700.0
2019-01-22,740.6500244140625,747.2000122070312,733.8499755859375,744.3499755859375,703.7979736328125,241180.0
2019-01-23,743.25,743.25,729.0499877929688,731.4500122070312,691.6007080078125,250110.0
2019-01-24,729.5,739.0,721.4000244140625,732.7999877929688,696.6870727539062,185362.0
2019-01-25,728.7000122070312,737.4000244140625,725.0,730.2000122070312,694.2152099609375,176637.0
2019-01-28,732.9000244140625,733.8499755859375,719.0499877929688,728.2000122070312,692.3137817382812,500333.0
2019-01-29,728.2000122070312,730.3499755859375,716.5499877929688,727.3499755859375,691.505615234375,618662.0
2019-01-30,727.3499755859375,734.6500244140625,720.5999755859375,724.8499755859375,689.12890625,653889.0
2019-01-31,728.0,751.0,727.0499877929688,749.5999755859375,712.6591186523438,1128305.0
2019-02-01,753.7999877929688,761.7999877929688,745.0,756.5499877929688,719.2666625976562,374496.0
2019-02-04,755.0,762.0,747.8499755859375,755.6500244140625,718.4110107421875,329744.0
2019-02-05,751.0,760.0,748.5499877929688,754.25,717.0799560546875,272873.0
2019-02-06,754.25,766.1500244140625,753.7999877929688,762.6500244140625,725.0660400390625,345880.0
2019-02-07,761.0999755859375,769.5,760.6500244140625,763.3499755859375,725.7315063476562,241922.0
2019-02-08,764.0,771.1500244140625,755.0999755859375,759.8499755859375,722.4039916992188,312650.0
2019-02-11,760.0,768.6500244140625,757.5499877929688,761.5999755859375,724.0677490234375,275729.0
2019-02-12,763.0,763.0,741.0,750.4000244140625,713.4197998046875,292287.0
2019-02-14,753.0,753.0,738.0,739.7999877929688,703.3421020507812,171101.0
2019-02-15,741.25,746.5499877929688,733.0,741.75,705.1959838867188,331471.0
2019-02-18,741.0,747.5,736.2000122070312,740.0999755859375,703.6272583007812,168645.0
2019-02-19,738.9000244140625,739.2999877929688,723.0,725.1500244140625,689.4140625,228364.0
2019-02-20,730.0,743.4500122070312,727.0,740.0499877929688,703.5797729492188,288411.0
2019-02-21,739.0,739.1500244140625,727.9500122070312,733.3499755859375,697.2099609375,200596.0
2019-02-22,733.9000244140625,736.6500244140625,728.0,733.3499755859375,697.2099609375,191573.0
2019-02-25,735.0,757.7999877929688,735.0,754.9000244140625,717.697998046875,297704.0
2019-02-26,748.1500244140625,752.0499877929688,740.0,741.7000122070312,705.1484985351562,394085.0
2019-02-27,745.0,746.5999755859375,733.0,734.7000122070312,698.4934692382812,447430.0
2019-02-28,735.1500244140625,742.0,732.0999755859375,733.9500122070312,697.7803955078125,212699.0
2019-03-01,737.7999877929688,742.3499755859375,735.5499877929688,741.1500244140625,704.6256103515625,237031.0
2019-03-05,742.0,742.5499877929688,730.0,732.5999755859375,696.4969482421875,227036.0
2019-03-06,735.0,736.9000244140625,727.0999755859375,732.2000122070312,696.11669921875,517663.0
2019-03-07,735.0,735.5,720.75,723.25,687.6077270507812,538547.0
2019-03-08,723.25,725.9000244140625,711.0999755859375,712.5499877929688,677.4349975585938,418002.0
2019-03-11,713.0,718.2000122070312,709.2000122070312,711.6500244140625,676.579345703125,1177665.0
2019-03-12,709.9000244140625,714.75,705.7000122070312,706.9000244140625,672.0634765625,603082.0
2019-03-13,710.0,718.75,706.3499755859375,709.1500244140625,674.20263671875,466106.0
2019-03-14,714.0,715.0,706.2999877929688,708.3499755859375,673.4420166015625,351044.0
2019-03-15,712.8499755859375,723.6500244140625,709.1500244140625,718.8499755859375,683.4244995117188,806656.0
2019-03-18,723.4500122070312,723.8499755859375,705.6500244140625,709.75,674.7730102539062,866618.0
2019-03-19,713.0,725.9000244140625,707.7999877929688,721.5,685.9439697265625,686131.0
2019-03-20,726.2000122070312,742.0,726.2000122070312,738.5,702.1061401367188,976004.0
2019-03-22,743.3499755859375,746.0999755859375,733.0999755859375,742.1500244140625,705.5762939453125,371377.0
2019-03-25,741.0,742.0,731.5,735.7999877929688,699.5392456054688,2496241.0
2019-03-26,736.0,736.0,719.5999755859375,726.75,690.9352416992188,438405.0
2019-03-27,728.0,732.4000244140625,726.25,729.0499877929688,693.1218872070312,369947.0
2019-03-28,730.0,745.0,730.0,738.5,702.1061401367188,428974.0
2019-04-01,742.9000244140625,759.5999755859375,742.9000244140625,755.6500244140625,718.4110107421875,1913427.0
2019-04-02,757.5,765.4500122070312,753.0999755859375,757.0999755859375,719.7894897460938,877816.0
2019-04-03,759.0,759.0499877929688,747.0,754.0499877929688,716.8898315429688,580434.0
2019-04-04,751.9500122070312,753.7999877929688,745.5,748.25,711.375732421875,246998.0
2019-04-05,750.0,760.5,748.25,756.25,718.9814453125,1341969.0
2019-04-08,762.2999877929688,769.9500122070312,755.9500122070312,767.1500244140625,729.34423828125,314102.0
2019-04-09,770.0,773.6500244140625,758.2999877929688,759.8499755859375,722.4039916992188,336826.0
2019-04-10,763.0,766.5,752.7000122070312,754.1500244140625,716.9849243164062,325180.0
2019-04-11,753.0,753.0,740.0499877929688,743.1500244140625,706.5270385742188,375859.0
2019-04-12,746.0,751.5,741.0,747.8499755859375,710.995361328125,385220.0
2019-04-15,725.0,732.0,713.7000122070312,726.6500244140625,690.8401489257812,1070699.0
2019-04-16,728.2999877929688,728.5,714.5499877929688,723.8499755859375,688.1781005859375,661281.0
2019-04-18,724.8499755859375,724.8499755859375,713.0,716.4000244140625,681.0952758789062,537060.0
2019-04-22,716.4000244140625,725.75,715.0,720.5999755859375,685.0883178710938,371246.0
2019-04-23,724.0,729.7999877929688,718.5,727.8499755859375,691.9810180664062,322190.0
2019-04-24,727.5,737.7999877929688,724.25,736.4000244140625,700.1097412109375,366957.0
2019-04-25,736.4000244140625,737.5499877929688,726.0,728.75,692.836669921875,356999.0
2019-04-26,731.0,739.9000244140625,729.5999755859375,737.0999755859375,700.7752075195312,333801.0
2019-04-30,739.0,753.0,737.5,749.9500122070312,712.991943359375,738883.0
2019-05-02,748.5999755859375,748.9000244140625,728.2000122070312,729.8499755859375,693.8824462890625,950252.0
2019-05-03,723.75,730.5999755859375,719.0,723.75,688.0830688476562,366567.0
2019-05-06,718.5,721.9500122070312,711.0999755859375,717.8499755859375,682.4738159179688,1029470.0
2019-05-07,720.0499877929688,727.4000244140625,719.0,723.5499877929688,687.8929443359375,497580.0
2019-05-08,724.0,725.9500122070312,716.0,718.0999755859375,682.7114868164062,440522.0
2019-05-09,721.7000122070312,730.3499755859375,716.0,721.0499877929688,685.51611328125,543215.0
2019-05-10,723.0,723.0,714.5,716.0499877929688,680.7625122070312,521637.0
2019-05-13,718.0,727.5,712.7999877929688,720.0499877929688,684.5653686523438,397812.0
2019-05-14,719.5,719.5,704.0,713.8499755859375,678.6709594726562,537632.0
2019-05-15,716.6500244140625,724.4500122070312,712.9500122070312,716.5,681.1903686523438,455637.0
2019-05-16,716.75,736.75,716.75,734.2000122070312,698.0181274414062,425995.0
2019-05-17,733.2999877929688,735.7000122070312,721.0,723.7999877929688,688.130615234375,577782.0
2019-05-20,725.7999877929688,726.4500122070312,706.8499755859375,722.4000244140625,686.7996826171875,669439.0
2019-05-21,723.5,723.5,707.0,709.2000122070312,674.2501831054688,511790.0
2019-05-22,711.0999755859375,718.2000122070312,707.0,709.2000122070312,674.2501831054688,497340.0
2019-05-23,717.7000122070312,717.7000122070312,698.4000244140625,701.25,666.69189453125,652528.0
