Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
16-February-2017,92.65,94.15,92.65,93.95,93.719521521638675386,495571,2547,46444677.00,158776,32.04,1.50,1.30
15-February-2017,92.50,94.45,91.25,92.95,93.094623201657962732,1079397,4486,100486057.00,232251,21.52,3.20,0.45
14-February-2017,92.20,92.70,90.75,92.25,91.764577825050118348,563167,3025,51678782.00,115653,20.54,1.95,0.05
13-February-2017,93.00,93.65,91.50,92.10,92.261438236318325969,697813,2180,64381231.00,240054,34.40,2.15,-0.90
10-February-2017,95.95,95.95,92.45,92.95,93.261277726358416506,1278161,3795,119202928.00,619380,48.46,3.50,-3.00
9-February-2017,96.25,96.70,94.50,95.25,95.314789697705577817,971007,3852,92551328.00,196274,20.21,2.20,-1.00
8-February-2017,94.95,97.00,94.05,95.45,95.719072910647147723,1268443,8402,121414188.00,307358,24.23,2.95,0.50
7-February-2017,95.00,95.10,93.05,94.10,93.871677049027100434,727516,4637,68293147.00,224522,30.86,2.05,-0.90
6-February-2017,95.00,95.80,94.75,95.15,95.167254970657791013,685020,3556,65191473.00,276028,40.29,1.05,0.15
3-February-2017,95.00,95.70,93.80,94.50,94.613261973979091305,1222171,4863,115633585.00,444764,36.39,1.90,-0.50
2-February-2017,92.50,95.10,91.50,94.90,93.854151981831993886,1752091,6999,164441015.00,616148,35.17,3.60,2.40
1-February-2017,91.30,93.05,90.75,92.15,91.781561955305237746,1820974,6625,167131838.00,364259,20.00,2.30,0.85
31-January-2017,92.10,92.10,89.80,90.80,90.755703518639164659,1171163,3651,106289722.00,394870,33.72,2.30,-1.30
30-January-2017,91.95,93.05,91.25,92.15,92.070704599468754368,1115868,3739,102738753.00,432688,38.78,1.80,0.20
27-January-2017,86.55,92.75,86.00,92.50,91.918098626456999302,13984564,16315,1285434533.00,10882342,77.82,6.75,5.95
25-January-2017,88.75,89.40,86.20,86.60,87.327501259422272200,2564668,5873,223966048.00,1542580,60.15,3.20,-2.15
24-January-2017,85.25,88.95,85.25,88.75,87.893220094232649379,1267289,4198,111386111.00,632128,49.88,3.70,3.50
23-January-2017,86.00,86.70,85.45,86.30,86.160088868633929588,351080,1279,30249084.00,101014,28.77,1.25,0.30
20-January-2017,87.00,87.35,85.30,85.70,86.332111467561116484,574804,2112,49624043.00,102269,17.79,2.05,-1.30
19-January-2017,87.00,87.65,86.25,87.00,87.125134555137628714,725539,2074,63212683.00,325983,44.93,1.40,0.00
18-January-2017,85.80,87.10,85.40,86.95,86.549674791319965612,1213221,2617,105003883.00,604259,49.81,1.70,1.15
17-January-2017,85.75,86.75,85.35,85.80,85.980477798646069151,456301,2035,39232978.00,145753,31.94,1.40,0.05
16-January-2017,84.60,86.10,84.10,85.60,85.033258825678179114,574885,3294,48884345.00,232027,40.36,2.00,1.00
13-January-2017,84.80,85.15,83.40,84.60,84.343863194122054571,708683,2900,59773062.00,121195,17.10,1.75,-0.20
12-January-2017,85.10,85.50,84.00,84.35,84.589250884087581101,518331,1704,43845231.00,111602,21.53,1.50,-0.75
11-January-2017,85.50,86.25,85.05,85.60,85.651890721852349873,457365,1743,39174177.00,135403,29.61,1.20,0.10
10-January-2017,85.00,85.35,84.20,84.90,84.863811459249598107,329690,1414,27978750.00,97396,29.54,1.15,-0.10
9-January-2017,85.25,85.75,84.65,84.95,85.152983366397070044,366968,1804,31248420.00,129999,35.43,1.10,-0.30
6-January-2017,84.45,85.60,83.20,85.25,84.505738337241313318,1180917,4117,99794263.00,366790,31.06,2.40,0.80
5-January-2017,84.00,84.95,83.00,83.95,83.912991195367652891,630350,2677,52894554.00,138547,21.98,1.95,-0.05
4-January-2017,81.10,84.50,81.10,83.85,83.571743759571077457,1157132,4328,96703539.00,464689,40.16,3.40,2.75
3-January-2017,81.10,81.50,80.55,81.10,81.047710058577156769,806287,2220,65347715.00,140282,17.40,0.95,0.00
2-January-2017,80.40,81.45,79.20,80.95,80.574261561714376856,921641,2840,74260543.00,174789,18.96,2.25,0.55
30-December-2016,79.90,80.80,79.50,80.10,80.228899651565223163,768293,2645,61639302.00,205873,26.80,1.30,0.20
29-December-2016,78.35,79.25,77.50,78.95,78.498144722321442851,375146,1286,29448265.00,113353,30.22,1.75,0.60
28-December-2016,78.45,78.70,77.90,78.20,78.175088988898669347,544169,1746,42540460.00,187154,34.39,0.80,-0.25
27-December-2016,76.30,78.20,75.10,77.95,76.657354557633076473,698696,2160,53560187.00,137411,19.67,3.10,1.65
26-December-2016,77.70,78.00,76.25,76.60,76.917515756031646157,484735,1918,37284612.00,126580,26.11,1.75,-1.10
23-December-2016,77.30,78.55,76.20,77.70,77.619719598175612538,557557,3280,43277418.00,172754,30.98,2.35,0.40
22-December-2016,77.55,79.75,76.85,77.50,77.838460646507852661,776170,2693,60415878.00,143695,18.51,2.90,-0.05
21-December-2016,77.60,78.45,77.40,77.60,77.962056653177814805,567135,1745,44215011.00,195901,34.54,1.05,0.00
20-December-2016,79.40,79.45,76.65,77.00,77.542936182925883193,605841,2411,46978690.00,174715,28.84,2.80,-2.40
19-December-2016,77.65,79.80,77.20,78.80,78.992348274113761870,729770,2340,57646246.00,201433,27.60,2.60,1.15
16-December-2016,77.80,78.20,77.25,77.70,77.742411768431147259,331599,1121,25779306.00,127616,38.49,0.95,-0.10
15-December-2016,76.60,78.70,76.30,77.80,77.895343613741108823,523131,2010,40749469.00,109688,20.97,2.40,1.20
14-December-2016,77.95,78.30,76.90,77.25,77.583700991598929549,579569,2044,44965108.00,163405,28.19,1.40,-0.70
13-December-2016,78.60,79.75,77.25,77.95,78.497291543878152433,515792,2181,40488275.00,140001,27.14,2.50,-0.65
12-December-2016,79.60,80.15,78.60,79.20,79.438227343415682959,574866,2552,45666336.00,168986,29.40,1.55,-0.40
9-December-2016,78.25,79.95,77.90,79.50,79.014633445276438839,890631,3246,70372882.00,256606,28.81,2.05,1.25
8-December-2016,77.10,78.60,77.10,78.10,78.004239862322349224,551433,2173,43014112.00,193813,35.15,1.50,1.00
7-December-2016,78.05,78.50,76.30,76.75,77.338982472483693250,586107,2616,45328919.00,185580,31.66,2.20,-1.30
6-December-2016,77.90,78.85,76.45,78.05,77.998996402867887891,733362,3162,57201500.00,204252,27.85,2.40,0.15
5-December-2016,75.15,77.50,75.00,77.20,76.165887833885055839,986305,4973,75122796.00,299516,30.37,2.50,2.05
2-December-2016,77.25,78.80,74.40,74.75,76.494451738430987979,1920151,7194,146880898.00,542108,28.23,4.40,-2.50
1-December-2016,80.00,80.00,77.35,77.65,78.535903773978224331,2293018,6029,180084241.00,424017,18.49,2.65,-2.35
30-November-2016,80.25,80.65,79.25,79.55,79.779053407620012381,639684,2706,51033384.00,215072,33.62,1.40,-0.70
29-November-2016,78.25,81.10,78.25,80.00,80.185522938132102079,990643,3863,79435227.00,247024,24.94,2.85,1.75
28-November-2016,77.50,78.50,77.10,78.25,78.060329452454507756,793377,2807,61931270.00,310632,39.15,1.40,0.75
25-November-2016,76.05,77.70,75.70,77.05,76.684138931632545241,1126223,3787,86363441.00,389333,34.57,2.00,1.00
24-November-2016,77.00,77.10,75.60,75.85,76.330106904503018259,853472,2977,65145609.00,352361,41.29,1.50,-1.15
23-November-2016,76.50,77.75,75.00,77.25,76.473986642557100335,932963,3538,71347400.00,227386,24.37,2.75,0.75
22-November-2016,77.45,77.45,73.60,75.75,75.276737008683346920,1105219,4612,83197280.00,306621,27.74,3.85,-1.70
21-November-2016,80.40,80.50,75.55,75.95,77.172510238141688895,1173797,4937,90584861.00,423415,36.07,4.95,-4.45
18-November-2016,79.45,80.40,78.65,79.60,79.614592814911395934,975576,3809,77670086.00,323132,33.12,1.75,0.15
17-November-2016,79.00,80.10,78.15,78.95,79.209682125064061814,1168793,4950,92579722.00,338157,28.93,1.95,-0.05
16-November-2016,83.80,83.90,77.40,79.20,81.347420825217973760,2848508,9712,231718779.00,657908,23.10,6.50,-4.60
15-November-2016,87.95,87.95,81.70,82.65,83.827128776247269759,1602881,6039,134364912.00,436784,27.25,6.25,-5.30
11-November-2016,88.00,90.00,87.05,87.40,88.586150782242884887,1537502,5246,136201384.00,410944,26.73,2.95,-0.60
10-November-2016,92.00,93.50,88.90,89.45,91.330383144338424650,1323757,7229,120899234.00,379035,28.63,4.60,-2.55
9-November-2016,83.70,91.95,82.60,91.40,88.102826641095596512,3057622,17503,269385141.00,495692,16.21,9.35,7.70
8-November-2016,89.65,92.10,88.30,91.75,90.882227035211079577,3183515,11312,289324933.00,449036,14.11,3.80,2.10
7-November-2016,91.50,92.10,89.45,89.65,90.589236012642889921,969715,3749,87845741.00,284894,29.38,2.65,-1.85
4-November-2016,91.60,92.40,89.00,90.60,90.728418037259334320,1847376,6297,167609502.00,530845,28.74,3.40,-1.00
3-November-2016,89.80,92.25,89.60,91.00,91.392375997053380473,1333053,5420,121830881.00,393487,29.52,2.65,1.20
2-November-2016,89.30,91.10,88.00,89.80,89.709682179186258239,1314766,4718,117947240.00,298187,22.68,3.10,0.50
1-November-2016,91.30,92.65,89.65,90.10,91.189989904577170453,2015765,9011,183817590.00,527255,26.16,3.00,-1.20
30-October-2016,91.00,91.70,90.50,91.35,91.343838209804452694,675591,4201,61711075.00,308265,45.63,1.20,0.35
28-October-2016,85.00,90.70,84.90,90.25,89.271464992384039069,3390905,10951,302711057.00,1084653,31.99,5.80,5.25
27-October-2016,86.70,87.00,84.50,84.95,85.611594404173594581,777651,3291,66575942.00,220321,28.33,2.50,-1.75
26-October-2016,87.50,88.20,86.70,87.15,87.499153791032278323,621005,6546,54337412.00,194350,31.30,1.50,-0.35
25-October-2016,88.00,88.15,86.45,87.60,87.197615813994735018,608929,3017,53097157.00,176076,28.92,1.70,-0.40
24-October-2016,87.10,88.35,86.20,88.00,87.619265790983159985,972802,4034,85236197.00,371682,38.21,2.15,0.90
